epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,282.831,0.2446,0.73267,1.00621,0.9506,0.95457,0.92617,0.65795,0.73755,7.00941,2.01965,0.00333035,0.00333035,0.00333035
2,556.31,0.16799,0.25446,0.9269,0.95683,0.95388,0.92965,0.67472,0.70246,0.45496,1.53702,0.00653174,0.00653174,0.00653174
3,824.931,0.18727,0.22327,0.92986,0.89266,0.93305,0.90622,0.62208,0.83364,0.68343,1.96827,0.00960113,0.00960113,0.00960113
4,1092.82,0.1691,0.19617,0.92333,0.95504,0.94381,0.92306,0.67663,0.70888,0.47522,1.72734,0.009406,0.009406,0.009406
5,1360.51,0.13547,0.16515,0.90851,0.95513,0.95517,0.93361,0.6926,0.66496,0.48003,1.69341,0.009208,0.009208,0.009208
6,1627.77,0.11761,0.146,0.90371,0.95568,0.95577,0.92946,0.68853,0.69861,0.49805,1.56098,0.00901,0.00901,0.00901
7,1906.06,0.10504,0.13698,0.8999,0.95752,0.95756,0.93089,0.70642,0.69241,0.47417,1.62821,0.008812,0.008812,0.008812
8,2184.88,0.09492,0.12724,0.89727,0.95756,0.95749,0.95133,0.74532,0.68664,0.48391,1.65697,0.008614,0.008614,0.008614
9,2496.8,0.08718,0.12018,0.89678,0.95575,0.95637,0.92849,0.71153,0.66757,0.4785,1.63801,0.008416,0.008416,0.008416
10,2821.56,0.08099,0.11426,0.89406,0.95574,0.95577,0.93693,0.73601,0.68977,0.45826,1.78855,0.008218,0.008218,0.008218
11,3143.71,0.0772,0.11061,0.89293,0.95517,0.95517,0.93693,0.74023,0.68589,0.49791,1.64242,0.00802,0.00802,0.00802
12,3468.83,0.07221,0.10457,0.89139,0.95517,0.95517,0.93604,0.72825,0.66558,0.52025,1.84971,0.007822,0.007822,0.007822
13,3793.25,0.07026,0.1026,0.89321,0.95634,0.95637,0.94335,0.73847,0.66737,0.46266,1.85556,0.007624,0.007624,0.007624
